"","Explicit","Implicit_prod","Implicit_cons","Null"
"AFG",223.76409977027,1280.62614890299,1280.62614890299,0
"ALB",0,414.62650230648,414.62650230648,0
"ARE",10167.2563664223,20953.9815673929,20953.9815673929,0
"ARG",8048.90995608839,23475.2307216693,23475.2307216693,0
"ARM",0,1004.05450594667,1004.05450594667,0
"AUS",0.00096960516,34072.1597979849,34072.1597979849,0
"AUT",162.69229041956,823.98020278162,823.98020278162,0
"AZE",3709.6084687243,5243.42977742017,5243.42977742017,0
"BEL",0,2441.30914081937,2441.30914081937,0
"BEN",0,550.30811139982,550.30811139982,0
"BFA",200.46348094764,242.80996132541,242.80996132541,0
"BGD",5941.08253157663,26182.523946386,26182.523946386,0
"BGR",180.57016632526,6031.70941871556,6031.70941871556,0
"BLR",3662.10073650209,10529.4362501691,10529.4362501691,0
"BOL",2108.22033793758,3792.76352584381,3792.76352584381,0
"BRA",651.62843612075,55859.7000633046,55859.7000633046,0
"BWA",56.00117382671,782.83686077969,782.83686077969,0
"CAF",0.019585751871,0.65423291088,0.65423291088,0
"CAN",0,22539.8160003415,22539.8160003415,0
"CHE",14.27021750663,3708.11825822298,3708.11825822298,0
"CHL",250.03359693636,13638.8545945821,13638.8545945821,0
"CHN",37972.2300870417,2534364.83895125,2534364.83895125,0
"CIV",267.17316390622,1309.30510036576,1309.30510036576,0
"CMR",50.99333385487,344.60199623307,344.60199623307,0
"COD",0.09438488881,231.73302129801,231.73302129801,0
"COG",78.66896731306,323.45307470394,323.45307470394,0
"COL",1293.83670871645,20498.8455098551,20498.8455098551,0
"COM",4.6236184934e-15,9.744077923,9.744077923,0
"CRI",101.70899294663,1303.2224912046,1303.2224912046,0
"CYP",0,119.81132790752,119.81132790752,0
"CZE",0,8471.13251952935,8471.13251952935,0
"DEU",0,43846.2656483367,43846.2656483367,0
"DNK",0,683.47071715506,683.47071715506,0
"DOM",1232.21147997114,6469.01550229247,6469.01550229247,0
"DZA",22838.874234103,24062.7617245894,24062.7617245894,0
"ECU",4688.00827072722,8231.40052257512,8231.40052257512,0
"EGY",43597.8449351118,57599.1111109434,57599.1111109434,0
"ESP",0,9081.753439171,9081.753439171,0
"EST",17.46582458028,255.01767522669,255.01767522669,0
"ETH",135.6489239576,1729.32304858666,1729.32304858666,0
"FIN",0,514.34425944276,514.34425944276,0
"FRA",0,10742.2456264635,10742.2456264635,0
"GAB",42.40352457348,235.64165040439,235.64165040439,0
"GBR",9995.8037460386,20081.7050646779,20081.7050646779,0
"GEO",633.82496379303,1761.51628492687,1761.51628492687,0
"GHA",368.38508804128,970.01644235953,970.01644235953,0
"GIN",13.67812012642,180.94994650366,180.94994650366,0
"GRC",0,6711.3032168476,6711.3032168476,0
"GTM",231.16393660656,2846.77911960158,2846.77911960158,0
"HND",26.74565228434,1874.15507123917,1874.15507123917,0
"HRV",388.5588999946,1586.83350212158,1586.83350212158,0
"HTI",153.5701778919,352.00296427538,352.00296427538,0
"HUN",2904.52470843748,3930.76500425371,3930.76500425371,0
"IDN",31738.9159130802,116613.132405713,116613.132405713,0
"IND",33021.9370076094,356467.214633471,356467.214633471,0
"IRL",595.54758126775,2829.28237841632,2829.28237841632,0
"IRN",64912.2810156313,98509.215935283,98509.215935283,0
"IRQ",12417.286067358,24231.8669563011,24231.8669563011,0
"ISR",89.20537788412,10468.7501884263,10468.7501884263,0
"ITA",0,21989.0516715565,21989.0516715565,0
"JAM",198.95395006485,750.84531139146,750.84531139146,0
"JOR",465.27118139803,1993.86537137309,1993.86537137309,0
"JPN",2993.58296508023,172537.855770741,172537.855770741,0
"KAZ",15028.8983008166,49066.9283330814,49066.9283330814,0
"KEN",0,481.74447346933,481.74447346933,0
"KGZ",326.75751450958,1536.33304181101,1536.33304181101,0
"KHM",76.1226661398,2224.98331710119,2224.98331710119,0
"KOR",4926.84386498742,84628.3586964179,84628.3586964179,0
"LAO",331.88902907217,1737.46224748799,1737.46224748799,0
"LBN",3489.92055817909,2557.11962363313,2557.11962363313,0
"LKA",232.4127680795,3050.53514998147,3050.53514998147,0
"LTU",49.92665015577,1413.07412932708,1413.07412932708,0
"LUX",87.55651891604,723.49311842308,723.49311842308,0
"LVA",138.13347272133,364.64001897836,364.64001897836,0
"MAR",2725.35704964793,7234.25574983181,7234.25574983181,0
"MDG",54.96534681317,430.42041437577,430.42041437577,0
"MEX",1163.21109029614,58813.8663461785,58813.8663461785,0
"MLI",291.71465853698,44.34293462488,44.34293462488,0
"MLT",0,136.16554828897,136.16554828897,0
"MNG",533.39034524179,3530.47535983547,3530.47535983547,0
"MOZ",6.72895449748,115.86454284078,115.86454284078,0
"MUS",104.51575385206,466.58028726814,466.58028726814,0
"MWI",3.16120152426,14.28070340513,14.28070340513,0
"MYS",6562.43741611708,39987.3262189772,39987.3262189772,0
"NAM",1.05471070954,337.46546893288,337.46546893288,0
"NER",156.79732346148,315.61475481505,315.61475481505,0
"NGA",6486.65948728155,16668.5712949774,16668.5712949774,0
"NIC",40.62152374629,297.39977406817,297.39977406817,0
"NLD",468.20798197078,1575.45301848329,1575.45301848329,0
"NOR",0,349.22624569612,349.22624569612,0
"NPL",2.71843150952,3114.06047709931,3114.06047709931,0
"PAK",3477.04704964248,26805.7037177167,26805.7037177167,0
"PAN",53.14928179571,2601.46777851051,2601.46777851051,0
"PER",0.015686904156,11199.8559475058,11199.8559475058,0
"PHL",611.99649975316,26025.4573977075,26025.4573977075,0
"POL",1528.87045844754,58501.344854252,58501.344854252,0
"PRT",0,757.09150874005,757.09150874005,0
"PRY",402.61009295586,1609.12504976744,1609.12504976744,0
"ROU",959.58216807134,12473.6591292492,12473.6591292492,0
"RUS",61755.1113238839,380930.452504397,380930.452504397,0
"RWA",13.77176873266,147.9154006525,147.9154006525,0
"SDN",0.12004311075,2691.16030491071,2691.16030491071,0
"SLV",231.37354290855,1657.01386586937,1657.01386586937,0
"SRB",235.52923249377,7838.86829502646,7838.86829502646,0
"SVK",716.73030491395,3977.01232421326,3977.01232421326,0
"SVN",0,388.39490326567,388.39490326567,0
"SWE",0,623.94983755914,623.94983755914,0
"TCD",89.3848129424,42.37700841439,42.37700841439,0
"TGO",0,162.82464061603,162.82464061603,0
"THA",1493.89589881143,39781.4602142854,39781.4602142854,0
"TJK",147.13650448044,836.00669221285,836.00669221285,0
"TUN",2412.91875311249,4701.32207351708,4701.32207351708,0
"TUR",5965.22233731015,111254.113247231,111254.113247231,0
"TZA",0,612.08571432232,612.08571432232,0
"UGA",3.25375523928,89.64407065469,89.64407065469,0
"UKR",3769.51714045137,17231.4421065272,17231.4421065272,0
"URY",0,1012.65888563369,1012.65888563369,0
"USA",16477.9866943061,998662.35915661,998662.35915661,0
"UZB",12642.8035900236,21256.6233002249,21256.6233002249,0
"VEN",7645.21854638477,6553.68788889807,6553.68788889807,0
"VNM",2683.80045611644,32490.726364727,32490.726364727,0
"ZAF",0,47021.0001188629,47021.0001188629,0
"ZMB",79.03811996524,664.5904274833,664.5904274833,0
"ZWE",481.87902252694,1009.36238424333,1009.36238424333,0
